tumor	Signature_APOBEC_ml	Signature_3_ml	Signature_8_ml	Signature_17_ml	Signature_clock_ml	Signature_3_c	exp_sig3	Signature_3_l_rat	Signature_3_mva
PD31137a	0.02686148	0.61055056	0.06035878	0.04119704	0.2610320731	0.2118072218	0.9133136608	0.5067120265	0.2418773662
PD31139a	0.006376276	0.71384781	0.1302151	0.0288675	0.1206932336	0.2698308006	4.392010586	0.5316501032	0.5676718047
PD31140a	0.4166874301	0.15071052	0.08038296	0.06324022	0.288978855	0.08618201863	0	0	0.03414132364
PD31142a	0.4407234801	0.42869548	0	0.08877402	0.04180706	0.2369723041	0	0	0.1468036285
PD31144a	2.42E-05	0.2753773254	0.007876791	0.0004096607	0.7163120814	0.3331609542	0	0	0.3116966813
PD31145a	0.0357637769	0.960404451	6.13E-05	0.0035892516	0.00018124	0.4009997488	4.910055186	0.8381620143	0.7577700216
PD31146a	0.003203974	0.90610816	0.03355027	0.00498082	0.0521567735	0.2338082788	0	0.9340979325	0.7301413832
PD31147a	0.3481790461	0.49478933	0.02934592	0.03042772	0.09725793	0.2274437079	0	0	0.1879371275
PD31148a	0.6211880792	0.3052562	0	0.04487876	0.02867694	0.1749954246	0	0	0.07685674591
PD31150a	0.1630897	0.59630084	0.02040355	0.1597708	0.06043501	0.2372412106	0	0	0.2632184584
PD31151a	0.008108066	0.82065735	0.06466623	0.04805027	0.0585181066	0.2862104082	5.503598788	0.8250936579	0.7547624306
PD31152a	0.08725199	0.37768209	0.1111442	0.06970403	0.3542178405	0.1573392902	0.4780225523	0.4872820985	0.134128881
PD31155a	0.2578799811	0.62197895	0.03009253	0	0.09004863	0.3028680799	3.58632974	0.6567987701	0.3736203133
PD31156a	0.1907948982	0.7959520861	0.0001777597	0.012763173	0.0003121087	0.4070473291	4.740004643	0.3667308506	0.6479831762
PD31157a	0	0.4023199	0.08518358	0.3373537	0.1751427703	0.1280448376	0.8181701404	0.4742811914	0.157168956
PD31158a	0.007162783	0.78915928	0.03937508	0.044850579	0.1194522782	0.3339036578	1.91655471	0.4748131205	0.7166594941
PD31159a	0.05653943	0.34616224	0.1002775	0.0526891	0.4443318523	0.1035074136	0	0	0.1306797808
PD31160a	0.3214063326	0.45106256	0	0.17752002	0.05001108	0.2168574238	0	0	0.1468391839
PD31163a	0.01721841	0.7907756	0.0321699	0.12721396	0.03262215	0.1919133599	0	0	0.6523364214
PD31164a	0.2294900068	0.64423599	0.03852467	0.04155663	0.04619266	0.2448311013	0.947083189	0.7445999537	0.3069435627
PD31165a	0.001286121	0.65569484	0.06780162	0.264142639	0.0110748158	0.2262060954	0	0	0.5746450589
PD31166a	0.1011572	0.19617851	0.120067	0.0397794	0.5428178829	0.1255262043	0	0	0.08201305533
PD31167a	0.1860265175	0.38568687	0.09079099	0.03911578	0.2983797442	0.2113160859	1.026162774	0.6255374637	0.1135600523
PD31169a	0	0.49399685	0.07878411	0.2848159	0.1424031701	0.1420842092	1.55685869	0.5660752204	0.2725853301
PD31171a	0.00577586	0.71397313	0.1242854	0.01112998	0.1448356178	0.2652924575	3.557376097	0.5140106205	0.5248935483
PD31172a	0.8299074505	0.1698949993	0	6.80E-05	0.0001295582	0.3236028054	0	0	0.1181794034
PD31173a	0.02762669	0.35291516	0.07099136	0.3526132	0.1958536726	0.1219557221	0.7035483505	0.4423524459	0.1538224326
PD31174a	0.02899714	0.46910343	0.09237665	0.12186876	0.2876540125	0.08375826641	0	0	0.1491135025
PD31175a	0.01474516	0.3054995	0.06727367	0.49494455	0.1175371104	0.1704558932	1.29136134	0.5015631987	0.2061760198
PD31176a	0.04401184	0.37778874	0.1502054	0.04003479	0.3879593053	0.2125191109	2.749889432	0.5208965155	0.1762736302
PD31177a	0.01746847	0.49540296	0.1282806	0.04146032	0.3173875195	0.1432691221	0.6357558134	0.5729091032	0.1594169001
PD31178a	0.008132906	0.80471461	0.04256248	0.12444029	0.020149821	0.3405162847	6.168029291	0.9166857806	0.8238873964
PD31181a	0.2547731743	0.58661524	0	0.10265791	0.05595356	0.1760279499	0	0	0.2551278431
PD35926a	0.0004539587	0.01536088	0.005075965	0.9785524	0.0005567941	0.275874304	1.137505868	0.6911024832	0.2481899257
PD35928a	0.04326823	0.29998676	0.1098594	0.0337155	0.5131700585	0.1560813122	0	0	0.1073759924
PD35929a	0.02593897	0.83976006	0.02532083	0.04533083	0.06364942	0.2364487991	3.976675927	0.590616179	0.6088774454
PD35930a	0.01278824	0.95968364	0.01064252	0.01349242	0.0033931672	0.4018019563	4.003070552	0.8040464951	0.9323555772
PD35931a	0.05247384	0.28203811	0.1528033	0.04111961	0.4715651391	0.08901902809	0	0	0.1022309177
PD35932a	0	0.84322783	0.06238883	0.044437725	0.0499455899	0.2835642602	5.013301636	0.6538451452	0.7299009966
PD35933a	0.04105456	0.36752696	0.1072918	0.07765522	0.4064714567	0.1266811719	0	0	0.1180814087
PD35934a	0.3084641328	0.5755324	0	0.05611031	0.05989318	0.1510960852	0	0	0.2045729011
PD35935a	0.01126197	0.58145088	0.1236646	0.046251804	0.237370793	0.2094554751	2.582681674	0.5277458484	0.2577896013
PD35936a	0	0.28838783	0.1102242	0.5008811	0.1005070247	0.1580456232	0.1544122931	0.4769005961	0.2141180308
PD35937a	0.05798053	0.44848963	0.1348989	0.0785848	0.2800461805	0.1582955338	0	0	0.1278951701
PD35938a	0.1717989301	0.39842734	0.09501676	0.06674584	0.2680111058	0.158683257	0.8089360345	0.4549313111	0.1183519142
